instance,pivoting_rule,neighborhood,initial_solution,cost,delta_percent,time_seconds,instance_clean,best_known
N-stabu2_250,first,transpose,random,7599379,33.921018,2.7e-05,N-stabu2_250,11500448
N-stabu2_250,first,transpose,cw,9609461,16.442725,0.004148,N-stabu2_250,11500448
N-stabu2_250,first,exchange,random,7599379,33.921018,1.6e-05,N-stabu2_250,11500448
N-stabu2_250,first,exchange,cw,9609461,16.442725,0.00418,N-stabu2_250,11500448
N-stabu2_250,first,insert,random,7599379,33.921018,1.5e-05,N-stabu2_250,11500448
N-stabu2_250,first,insert,cw,9609461,16.442725,0.006794,N-stabu2_250,11500448
N-stabu2_250,best,transpose,random,7601770,33.900227,0.002231,N-stabu2_250,11500448
N-stabu2_250,best,transpose,cw,9609800,16.439777,0.008325,N-stabu2_250,11500448
N-stabu2_250,best,exchange,random,7790568,32.258569,0.188947,N-stabu2_250,11500448
N-stabu2_250,best,exchange,cw,9715753,15.518482,0.201902,N-stabu2_250,11500448
N-stabu2_250,best,insert,random,7714258,32.922109,0.406654,N-stabu2_250,11500448
N-stabu2_250,best,insert,cw,9694725,15.701327,0.437982,N-stabu2_250,11500448
N-t75n11xx_250,first,transpose,random,2995202,33.806842,3.1e-05,N-t75n11xx_250,4524942
N-t75n11xx_250,first,transpose,cw,3791203,16.215434,0.004145,N-t75n11xx_250,4524942
N-t75n11xx_250,first,exchange,random,2995202,33.806842,1.6e-05,N-t75n11xx_250,4524942
N-t75n11xx_250,first,exchange,cw,3792006,16.197688,0.004158,N-t75n11xx_250,4524942
N-t75n11xx_250,first,insert,random,2995202,33.806842,1.6e-05,N-t75n11xx_250,4524942
N-t75n11xx_250,first,insert,cw,3791968,16.198528,0.004112,N-t75n11xx_250,4524942
N-t75n11xx_250,best,transpose,random,3001449,33.668785,0.001541,N-t75n11xx_250,4524942
N-t75n11xx_250,best,transpose,cw,3791782,16.202639,0.009248,N-t75n11xx_250,4524942
N-t75n11xx_250,best,exchange,random,3052932,32.531025,0.19477,N-t75n11xx_250,4524942
N-t75n11xx_250,best,exchange,cw,3813366,15.725638,0.205459,N-t75n11xx_250,4524942
N-t75n11xx_250,best,insert,random,3027082,33.102303,0.406682,N-t75n11xx_250,4524942
N-t75n11xx_250,best,insert,cw,3805209,15.905906,0.444029,N-t75n11xx_250,4524942
N-be75eec_250,first,transpose,random,5686313,36.062384,3.9e-05,N-be75eec_250,8893533
N-be75eec_250,first,transpose,cw,7328814,17.593897,0.004147,N-be75eec_250,8893533
N-be75eec_250,first,exchange,random,5686248,36.063115,3e-05,N-be75eec_250,8893533
N-be75eec_250,first,exchange,cw,7328814,17.593897,0.004176,N-be75eec_250,8893533
N-be75eec_250,first,insert,random,5686297,36.062564,2.3e-05,N-be75eec_250,8893533
N-be75eec_250,first,insert,cw,7328587,17.596449,0.007227,N-be75eec_250,8893533
N-be75eec_250,best,transpose,random,5689017,36.03198,0.002645,N-be75eec_250,8893533
N-be75eec_250,best,transpose,cw,7329200,17.589556,0.007572,N-be75eec_250,8893533
N-be75eec_250,best,exchange,random,5860615,34.10251,0.190145,N-be75eec_250,8893533
N-be75eec_250,best,exchange,cw,7370327,17.127119,0.200554,N-be75eec_250,8893533
N-be75eec_250,best,insert,random,5796729,34.820852,0.408113,N-be75eec_250,8893533
N-be75eec_250,best,insert,cw,7374923,17.075441,0.437152,N-be75eec_250,8893533
N-tiw56n58_150,first,transpose,random,686058,40.621192,1.3e-05,N-tiw56n58_150,1155392
N-tiw56n58_150,first,transpose,cw,952871,17.528337,0.000952,N-tiw56n58_150,1155392
N-tiw56n58_150,first,exchange,random,686238,40.605613,1e-05,N-tiw56n58_150,1155392
N-tiw56n58_150,first,exchange,cw,952871,17.528337,0.00094,N-tiw56n58_150,1155392
N-tiw56n58_150,first,insert,random,686239,40.605526,1e-05,N-tiw56n58_150,1155392
N-tiw56n58_150,first,insert,cw,952871,17.528337,0.000913,N-tiw56n58_150,1155392
N-tiw56n58_150,best,transpose,random,691385,40.160136,0.000336,N-tiw56n58_150,1155392
N-tiw56n58_150,best,transpose,cw,952871,17.528337,0.00124,N-tiw56n58_150,1155392
N-tiw56n58_150,best,exchange,random,711972,38.378317,0.031117,N-tiw56n58_150,1155392
N-tiw56n58_150,best,exchange,cw,964342,16.535513,0.030015,N-tiw56n58_150,1155392
N-tiw56n58_150,best,insert,random,703765,39.088638,0.055335,N-tiw56n58_150,1155392
N-tiw56n58_150,best,insert,cw,960749,16.84649,0.054749,N-tiw56n58_150,1155392
N-t70l11xx_150,first,transpose,random,235982,45.982484,1.5e-05,N-t70l11xx_150,436862
N-t70l11xx_150,first,transpose,cw,350271,19.821133,0.000916,N-t70l11xx_150,436862
N-t70l11xx_150,first,exchange,random,236151,45.943799,1.8e-05,N-t70l11xx_150,436862
N-t70l11xx_150,first,exchange,cw,350271,19.821133,0.001238,N-t70l11xx_150,436862
N-t70l11xx_150,first,insert,random,236011,45.975846,0.000325,N-t70l11xx_150,436862
N-t70l11xx_150,first,insert,cw,350271,19.821133,0.001255,N-t70l11xx_150,436862
N-t70l11xx_150,best,transpose,random,240506,44.946917,0.000319,N-t70l11xx_150,436862
N-t70l11xx_150,best,transpose,cw,350271,19.821133,0.001339,N-t70l11xx_150,436862
N-t70l11xx_150,best,exchange,random,249111,42.977187,0.030431,N-t70l11xx_150,436862
N-t70l11xx_150,best,exchange,cw,354153,18.932523,0.02952,N-t70l11xx_150,436862
N-t70l11xx_150,best,insert,random,245019,43.913868,0.054217,N-t70l11xx_150,436862
N-t70l11xx_150,best,insert,cw,353210,19.148381,0.059059,N-t70l11xx_150,436862
N-tiw56r58_250,first,transpose,random,2177261,28.855189,6.2e-05,N-tiw56r58_250,3060323
N-tiw56r58_250,first,transpose,cw,2576979,15.793888,0.004495,N-tiw56r58_250,3060323
N-tiw56r58_250,first,exchange,random,2177056,28.861888,4e-05,N-tiw56r58_250,3060323
N-tiw56r58_250,first,exchange,cw,2577107,15.789706,0.004704,N-tiw56r58_250,3060323
N-tiw56r58_250,first,insert,random,2178446,28.816468,0.001011,N-tiw56r58_250,3060323
N-tiw56r58_250,first,insert,cw,2577112,15.789542,0.008464,N-tiw56r58_250,3060323
N-tiw56r58_250,best,transpose,random,2182691,28.677757,0.001927,N-tiw56r58_250,3060323
N-tiw56r58_250,best,transpose,cw,2577162,15.787909,0.006763,N-tiw56r58_250,3060323
N-tiw56r58_250,best,exchange,random,2201106,28.076023,0.198663,N-tiw56r58_250,3060323
N-tiw56r58_250,best,exchange,cw,2589544,15.383311,0.21041,N-tiw56r58_250,3060323
N-tiw56r58_250,best,insert,random,2191876,28.377625,0.41117,N-tiw56r58_250,3060323
N-tiw56r58_250,best,insert,cw,2588643,15.412752,0.448514,N-tiw56r58_250,3060323
N-t75k11xx_250,first,transpose,random,2752736,32.75922,3.1e-05,N-t75k11xx_250,4093849
N-t75k11xx_250,first,transpose,cw,3455931,15.582353,0.004111,N-t75k11xx_250,4093849
N-t75k11xx_250,first,exchange,random,2752736,32.75922,1.5e-05,N-t75k11xx_250,4093849
N-t75k11xx_250,first,exchange,cw,3455931,15.582353,0.004116,N-t75k11xx_250,4093849
N-t75k11xx_250,first,insert,random,2752736,32.75922,1.6e-05,N-t75k11xx_250,4093849
N-t75k11xx_250,first,insert,cw,3455931,15.582353,0.006917,N-t75k11xx_250,4093849
N-t75k11xx_250,best,transpose,random,2763563,32.49475,0.002147,N-t75k11xx_250,4093849
N-t75k11xx_250,best,transpose,cw,3456269,15.574097,0.008196,N-t75k11xx_250,4093849
N-t75k11xx_250,best,exchange,random,2819633,31.125134,0.189961,N-t75k11xx_250,4093849
N-t75k11xx_250,best,exchange,cw,3471432,15.203712,0.200713,N-t75k11xx_250,4093849
N-t75k11xx_250,best,insert,random,2795147,31.723251,0.408663,N-t75k11xx_250,4093849
N-t75k11xx_250,best,insert,cw,3471644,15.198533,0.435415,N-t75k11xx_250,4093849
N-be75oi_250,first,transpose,random,3621123,38.729878,4e-05,N-be75oi_250,5910096
N-be75oi_250,first,transpose,cw,5025254,14.971703,0.004235,N-be75oi_250,5910096
N-be75oi_250,first,exchange,random,3621081,38.730589,3.8e-05,N-be75oi_250,5910096
N-be75oi_250,first,exchange,cw,5025407,14.969114,0.004775,N-be75oi_250,5910096
N-be75oi_250,first,insert,random,3621461,38.724159,8.8e-05,N-be75oi_250,5910096
N-be75oi_250,first,insert,cw,5025407,14.969114,0.008509,N-be75oi_250,5910096
N-be75oi_250,best,transpose,random,3712894,37.177095,0.001943,N-be75oi_250,5910096
N-be75oi_250,best,transpose,cw,5025546,14.966762,0.0067,N-be75oi_250,5910096
N-be75oi_250,best,exchange,random,3853369,34.80023,0.198452,N-be75oi_250,5910096
N-be75oi_250,best,exchange,cw,5064942,14.300174,0.205784,N-be75oi_250,5910096
N-be75oi_250,best,insert,random,3755948,36.448613,0.409156,N-be75oi_250,5910096
N-be75oi_250,best,insert,cw,5058276,14.412964,0.446035,N-be75oi_250,5910096
N-t75k11xx_150,first,transpose,random,963651,37.490043,1.7e-05,N-t75k11xx_150,1541596
N-t75k11xx_150,first,transpose,cw,1228706,20.296498,0.000935,N-t75k11xx_150,1541596
N-t75k11xx_150,first,exchange,random,965236,37.387227,2.2e-05,N-t75k11xx_150,1541596
