instance,pivoting_rule,neighborhood,initial_solution,best_known,cost,delta_percent,time_seconds
N-be75np_250,first,insert,cw,17814072,17455033,2.015480,3.021934
N-be75np_250,best,transpose,random,17814072,11875497,33.336426,0.000062
N-be75np_250,best,transpose,cw,17814072,14806974,16.880464,0.004826
N-be75np_250,best,exchange,random,17814072,17180547,3.556318,0.844369
N-be75np_250,best,exchange,cw,17814072,17201161,3.440600,0.733970
N-be75np_250,best,insert,random,17814072,17401543,2.315748,1.042865
N-be75np_250,best,insert,cw,17814072,17420679,2.208327,0.798130
N-t75n11xx_150,first,transpose,random,1743094,1026234,41.125722,0.000031
N-t75n11xx_150,first,transpose,cw,1743094,1391317,20.181184,0.001063
N-t75n11xx_150,first,exchange,random,1743094,1690504,3.017049,0.405998
N-t75n11xx_150,first,exchange,cw,1743094,1674839,3.915738,0.350691
N-t75n11xx_150,first,insert,random,1743094,1703717,2.259029,0.362478
N-t75n11xx_150,first,insert,cw,1743094,1708706,1.972814,0.293005
